Key,Item Type,Publication Year,Author,Title,Publication Title,Url,Abstract Note,Date,Num Pages,Issue,Volume,Number Of Volumes,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Geocode,Language,Library Catalog,Call Number,Extra,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Country,Version,Code,Code Number,Section,History
UJRLUPSR,book,2023,"Sakamoto, Shin'ichi; Cook, Caleb D.; Hull, Brendon; Stoker, Bram",#DRCL midnight children,,,"In this beautiful, evocative, and often surreal retelling of Bran Stoker's Dracula, a fearsome enemy arrives from the east, bringing with it horrors the likes of which have never been seen in the British Empire. Standing opposed are Wilhelmina ""Mina"" Murray and her stalwart companions, united in a cabal that eclipses gender, nationality, and station until the day that they can achieve victory. As Mina struggles to find her place as Whitby School's first and only student, a devilish horror is unleashed upon the academy and its unsuspecting students: Count Dracula. However, when this unspeakable evil lays claim to her beloved Lucy Westenra, Mina stands ready to join forces with her fellow students and fight against it with everything she has",2023,,,,,,,,,,"VIZ Media, LLC","San Francisco, CA","37.773972,-122.431297",eng,Library Catalog (Blacklight),PN6790.J33 S248513 2023,OCLC: 1398479939,,https://catalog.libraries.psu.edu/catalog/45901535,physical; web,"Comic books, strips, etc; Graphic novels; Comics (Graphic works); Bandes dessinées; Bandes dessinées d'horreur; Horror comics; Manga; Mangas; Paranormal comics; Adaptations Comic books, strips, etc; Adaptations en romans graphiques; Angleterre; Bandes dessinées de vampires; Bandes dessinées occultes; Bandes dessinées sur l'école; Dracula; Écoles privées; England; Graphic novel adaptations; Manga (comic books); Private schools; School comics; Stoker, Bram; Vampire comics; Vampires",,,,,,,,,,,,,,,,,,,,VIZ Signature edition,,,,,,,,,
PBD283ZM,book,1987,"Sakura, Momoko",Chibi Maruko-chan,,,,1987,,,,,,Ribon mascot comics,,,,Shūeisha,Tōkyō,"50.9014721,11.0377839",,Library Catalog (Blacklight),PN6790.J33 S24 1987,OCLC: 28315499,,https://catalog.libraries.psu.edu/catalog/9616710,physical; web,"Comic books, strips, etc; Japan; Children",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XR78GSN9,book,2023,"Hiranishi, Mieri; Estep, Joanna",The girl that can't get a girlfriend,,,"""Mieri is an awkward, nerdy college student with no dating experience, and her previous crushes on fellow butch women have all ended in disaster. That all changes when she meets Ash and has her feelings returned for the first time. But when first love turns to first heartbreak, Mieri will do everything possible to win Ash back.""--",2023,196,,,,,,,,,"VIZ Media, LLC","San Francisco, CA","37.773972,-122.431297",,Library Catalog (Blacklight),PN6790.J33 H56478 2023,OCLC: 1344378375,,https://catalog.libraries.psu.edu/catalog/44262916,physical; web,"Comic books, strips, etc; Graphic novels; Japan; Comics (Graphic works); Bandes dessinées; Manga; manga (comic books); Mangas; Autobiographical comics; Bandes dessinées autobiographiques; Bandes dessinées lesbiennes; Bandes dessinées queers; Bandes dessinées sentimentales; Biographies; Biographies Bandes dessinées; Biography; Biography Comic books, strips, etc; Cartoonists; Étudiantes lesbiennes; Hiranishi, Mieri; Juvenile works; Lesbian cartoonists; Lesbian college students; Lesbian comics; Love; Queer comics; Queer fiction; Romance comics",,,,,,,,,,,,,,,,,,,,VIZ Originals edition,,,,,,,,,
7MGQVVL5,book,1991,"Inoue, Takehiko",Suramu danku =: Slam dunk,,,"Sakuragi Hanamichi, a naughty high school boy, enters a basketball club at high school. Although he has just started to play basketball, he gradually becomes an excellent basketball player",1991,31,,,,Suramu danku =,Jump comics,,,,Shūeisha,Tōkyō,"50.9014721,11.0377839",,Library Catalog (Blacklight),PN6790.J33 I55 1991,OCLC: 39956661,,https://catalog.libraries.psu.edu/catalog/12534572,physical; web,"Comic books, strips, etc; Graphic novels; Japan; Basketball; High school athletes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FZK6GI9X,book,2023,,Kafka,,,"""Nine of Franz Kafka's most memorable tales are here given fresh life with dazzling graphic renderings by the brother-and sister manga creators Nishioka Kyōdai. With their distinctive, surreal style of illustration, they have reimagined the fantastic, the imperceptible and the bizarre in Kafka's work, creating a hauntingly powerful visual world. These stories of enigmatic figures and uncanny transformations are stripped to their core, offering profound new understandings.""--",2023,169,,,,,Japanese Novellas,,,,Pushkin Press,London,"50.9014721,11.0377839",eng,Library Catalog (Blacklight),PN6790.J33 N5713 2023,OCLC: 1400082986,,https://catalog.libraries.psu.edu/catalog/42545807,physical; web,"Comic books, strips, etc; Graphic novels; Comics (Graphic works); Translations; Translations into English; Manga; manga (comic books); Mangas; Fantasy comics; Adaptations en romans graphiques; Graphic novel adaptations; Bandes dessinées psychologiques; Kafka, Franz; Nishioka Kyōdai (Manga creator duo); Psychological comics","Nishioka Kyōdai (Manga creator duo); Yang, David; Ikeuchi, Osamu; Kafka, Franz",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6EHJU32M,book,2015,"Obata, Fumio",Just so happens,,,"""Yumiko was born in Japan but has made a life in London, losing herself in its cosmopolitan bustle. She has a gallery show of her art, a good job, and a good guy she plans to marry. The culture she grew up in seems very far away--until her brother phones with the news that their father has died. Yumiko returns to Tokyo and finds herself immersed in the rituals of death while also plunged into the rituals of life--fish bars, bullet trains, pagodas--as she confronts the question of where her future really lies. Just So Happens deals both gently and powerfully with grief, identity, and the pressure not to disappoint one's parents, even after they're gone, in a look at the relationships that build the foundation of our lives""--Publisher",2015,159,,,,,,,,,Abrams ComicArts,"New York, NY","50.9014721,11.0377839",,Library Catalog (Blacklight),PN6790.J33 O24 2014,OCLC: 890623476,,https://catalog.libraries.psu.edu/catalog/14098200,physical; web,"Comic books, strips, etc; Graphic novels; Japan; Interpersonal relations; London (England); Loss (Psychology)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7UG7ENDI,webpage,,,Comics and the Origins of Manga: A Revisionist History,,https://www.tandfonline.com/doi/epdf/10.1080/21504857.2023.2167845?needAccess=true,,,,,,,Comics and the Origins of Manga,,,,,,,,en,,,ISSN: 2150-4857,C:\Users\LEOHK\Zotero\storage\JCR3CJXP\21504857.2023.html,,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7V3J9TMS,webpage,,,The Impact of Manga and Anime | Article | JAPAN HOUSE LA,JAPAN HOUSE (Los Angeles),https://www.japanhousela.com/articles/the-impact-of-manga-and-anime/,"Of all the unique art forms Japan has given to global pop culture, perhaps the most instantly recognizable is manga, and its “moving image” counterpart, anime.",,,,,,,,,,,,,,en,,,,C:\Users\LEOHK\Zotero\storage\782PX589\the-impact-of-manga-and-anime.html,,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMA5KVZT,thesis,2017,"Horbinski, Andrea","Manga's Global Century: A History of Japanese Comics, 1905-1989",,https://escholarship.org/uc/item/5rb9x964,"This dissertation describes the origins and history of manga (Japanese comics) from 1905-89 as a form of sequential art which, while created in Japan in the early 20th century, was influenced by cinema and comics from abroad in addition to indigenous artistic predecessors. Manga’s history as one of the three great world sequential arts traditions is best understood by comparing manga to comics and bandes dessinées, as I do, in order to evaluate local conditions in Japan more accurately, demonstrating that different factors in each country produced different outcomes and developmental trajectories for each medium as part of the global history of the twentieth century. I consider multiple aspects of manga—its status as a form of Japanese mass media, its transnational position as one of multiple global sequential art traditions, and its distinctive history as a medium of expression in which fans and creators have at all points played equally important, and at times not easily divisible, roles—to tell the story of manga’s beginnings as it moves into its next hundred years.In particular, I describe the history of competing publishing platforms and formats within manga’s development to demonstrate that manga became widespread in Japanese society less because of any intrinsic quality of comics than because of the affordances of the platforms and formats through which it was distributed. Transformations in platform and format were related to the expansion of audiences for manga, as what began as medium devoted to political satire for adults expanded to encompass children and then to young adults in the 1950s and 1960s. Finally, I pay due attention to the development since 1975 of manga fandom, the dôjin sphere, as an unofficial but extremely consequential site of manga production which has now come to dominate the professional manga industry, even as manga has become a subordinate component of the anime media mix.",2017,,,,,Manga's Global Century,,,,,UC Berkeley,,,en,escholarship.org,,,"C:\Users\LEOHK\Zotero\storage\58YA4DSR\Horbinski - 2017 - Manga's Global Century A History of Japanese Comics, 1905-1989.pdf",,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9PJP3LX5,journalArticle,2021,"Kvidera, Peter James",The Story/History of Japan: Producing Knowledge by Integrating the Study of Japanese Literature and Japanese History,Japanese Language and Literature,https://jll.pitt.edu/ojs/JLL/article/view/68,"This essay discusses the benefits to student learning when we integrate the study of Japanese literature and Japanese history through the curricular model of ""linked courses.""  The essay begins by examining the process of linking an introductory Japanese literature course and introductory Japanese history course, and continues by explaining its pedagogical advantages.  Specifically, the collaboration of literary and historical study provides students greater access to the material and, subsequently, the opportunity for deeper analysis.  Students can better understand how historical context informs the literature and how literary representation enhances historical knowledge.  But in addition, this teaching model provokes broader questions about the production of knowledge itself: the disciplinary integration creates a learning environment in which we can ask how we know what we know, or in this case, how we come to understand both the ""story"" and the ""history"" of Japan.",2021-04-21,,1,55,,The Story/History of Japan,,,,,,,,en,jll.pitt.edu,,Number: 1,,,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
